Table for profit centre derivation rules


MANDT	 PRCTR	 SEGMENT
100	 0000000297	 CRS
100	 0000000298	 CRS
100	 0000000299	 CRS
100	 0000000331	 0000003100
100	 0000000332	 0000003100
100	 0000000333	 0000003100
100	 0000000334	 0000003120
100	 0000000337	 0000003100
100	 0000000340	 0000002410
100	 0000000345	 0000002410
100	 0000000346	 0000002410
100	 0000000347	 0000002410
100	 0000000348	 0000002410
100	 0000000349	 0000002410
100	 0000000390	 0000003100
100	 0000000395	 0000003100
100	 0000000396	 0000003100
100	 0000000397	 0000003100
100	 0000000398	 0000003100
100	 0000000399	 0000003100
100	 0000000480	 0000001210
100	 0000000481	 0000001210
100	 0000000483	 0000001210
100	 0000000485	 0000001210
100	 0000000486	 0000001210
100	 0000000488	 0000001210
100	 0000000500	 GAS
100	 0000000501	 GAS
100	 0000000521	 0000001610
100	 0000000539	 GAS
100	 0000000541	 0000001210
100	 0000000542	 0000001210
100	 0000000543	 GPP
100	 0000000544	 GPP
100	 0000000545	 0000001210
100	 0000000546	 GPP
100	 0000000547	 GPP
100	 0000000550	 APW
100	 0000000551	 APE
100	 0000000552	 0000001110
100	 0000000553	 APW
100	 0000000554	 APW
100	 0000000555	 0000001210
100	 0000000556	 AIA
100	 0000000557	 AIA
100	 0000000558	 AIA
100	 0000000559	 AIA
100	 0000000571	 0000001210
100	 0000000573	 0000001210
100	 0000000575	 0000001210
100	 0000000577	 0000001210
100	 0000000583	 0000001210
100	 0000000588	 0000001210
100	 0000000595	 0000001610
100	 0000000596	 0000001110
100	 0000000597	 0000001210
100	 0000000598	 0000001211
100	 0000000599	 0000001210
100	 0000000702	 MRS
100	 0000000704	 0000002110
100	 0000000705	 MRS
100	 0000000706	 0000002110
100	 0000000707	 0000002110
100	 0000000708	 0000002110
100	 0000000709	 0000002110
100	 0000000712	 MRS
100	 0000000713	 MRS
100	 0000000718	 0000002110
100	 0000000719	 0000002110
100	 0000000721	 MRS
100	 0000000729	 URE
100	 0000000730	 URE
100	 0000000735	 0000002310
100	 0000000765	 0000003130
100	 0000000770	 0000003320
100	 0000000771	 0000003310
100	 0000000772	 0000003310
100	 0000000773	 0000003310
100	 0000000774	 0000003320
100	 0000000775	 0000003310
100	 0000000776	 0000003320
100	 0000000777	 0000003320
100	 0000000778	 0000003320
100	 0000000779	 0000003310
100	 0000000780	 0000003320
100	 0000000782	 0000003320
100	 0000000783	 0000003330
100	 0000000784	 0000003320
100	 0000000785	 0000003320
100	 0000000786	 0000003310
100	 0000000787	 0000003320
100	 0000000788	 0000003310
100	 0000000789	 0000003310
100	 0000000800	 0000002310
100	 0000000802	 0000002310
100	 0000000803	 0000002310
100	 0000000806	 0000002310
100	 0000000810	 UMR
100	 0000000811	 CRS
100	 0000000813	 CHS
100	 0000000814	 0000002310
100	 0000000815	 UMR
100	 0000000816	 0000003130
100	 0000000817	 0000003130
100	 0000000818	 0000002110
100	 0000000819	 0000002110
100	 0000000820	 MRS
100	 0000000826	 0000003130
100	 0000000827	 0000003130
100	 0000000828	 0000003300
100	 0000000829	 0000003300
100	 0000000830	 0000003320
100	 0000000831	 0000003310
100	 0000000832	 0000003310
100	 0000000833	 0000003310
100	 0000000834	 0000003320
100	 0000000835	 0000003310
100	 0000000836	 0000003310
100	 0000000837	 0000003310
100	 0000000838	 0000003310
100	 0000000839	 0000003310
100	 0000000841	 0000003310
100	 0000000842	 0000003310
100	 0000000843	 0000003330
100	 0000000844	 0000003310
100	 0000000845	 0000003330
100	 0000000846	 0000003130
100	 0000000847	 0000003130
100	 0000000848	 0000003310
100	 0000000849	 0000003310
100	 0000000850	 0000003320
100	 0000000851	 0000003320
100	 0000000856	 0000003130
100	 0000000857	 0000003130
100	 0000000866	 0000003130
100	 0000000879	 0000003320
100	 0000000880	 0000002740
100	 0000000881	 0000002740
100	 0000000882	 CRS
100	 0000000890	 0000003100
100	 0000000891	 0000003100
100	 0000000892	 0000003100
100	 0000000893	 0000003100
100	 0000000894	 0000003100
100	 0000000895	 0000003100
100	 0000000896	 0000003100
100	 0000000897	 0000003100
100	 0000000898	 0000003100
100	 0000000899	 0000003130
100	 0000001100	 AIA
100	 0000001110	 0000001110
100	 0000001120	 0000001120
100	 0000001200	 AIA
100	 0000001210	 0000001210
100	 0000001211	 0000001211
100	 0000001220	 0000001220
100	 0000001300	 AIA
100	 0000001310	 APW
100	 0000001311	 AW1
100	 0000001320	 0000001320
100	 0000001330	 APW
100	 0000001331	 AW1
100	 0000001400	 AIA
100	 0000001410	 0000001410
100	 0000001500	 AIA
100	 0000001510	 0000001510
100	 0000001600	 AIA
100	 0000001610	 0000001610
100	 0000001611	 0000001611
100	 0000001700	 AIA
100	 0000001800	 AIA
100	 0000001900	 AIA
100	 0000001910	 0000001910
100	 0000001911	 0000001911
100	 0000002000	 AIA
100	 0000002100	 AIA
100	 0000002110	 0000002110
100	 0000002120	 0000002120
100	 0000002200	 0000002200
100	 0000002310	 0000002310
100	 0000002410	 0000002410
100	 0000002420	 0000002420
100	 0000002510	 0000002510
100	 0000002610	 0000002610
100	 0000002710	 0000002710
100	 0000002720	 0000002720
100	 0000002730	 0000002730
100	 0000002740	 0000002740
100	 0000002910	 0000002910
100	 0000003100	 0000003100
100	 0000003110	 0000003110
100	 0000003120	 0000003120
100	 0000003130	 0000003130
100	 0000003210	 0000003210
100	 0000003300	 0000003300
100	 0000003310	 0000003310
100	 0000003320	 0000003320
100	 0000003330	 0000003330
100	 0000003910	 0000003910
100	 0000005000	 0000005210
100	 0000005004	 GAS
100	 0000005110	 0000005110
100	 0000005210	 0000005210
100	 0000005310	 0000005310
100	 0000005410	 0000005410
100	 0000005910	 0000005910
100	 0000009000	 0000009010
100	 0000009010	 0000009010
100	 0000009020	 0000009010
100	 0000009030	 0000009010
100	 0000009040	 0000009010
100	 0000009110	 0000009010
100	 0000009111	 0000009010
100	 0000009112	 0000009010
100	 0000009113	 0000009010
100	 0000009114	 0000009010
100	 0000009115	 0000009010
100	 0000009116	 0000009010
100	 0000009117	 0000009010
100	 0000009118	 0000009010
100	 0000009119	 0000009010
100	 0000009120	 0000009010
100	 0000009121	 0000009010
100	 0000009122	 0000009010
100	 0000009124	 0000009010
100	 0000009125	 0000009010
100	 0000009130	 0000009010
100	 0000009131	 0000009010
100	 0000009132	 0000009010
100	 0000009133	 0000009010
100	 0000009134	 0000009010
100	 0000009140	 0000009010
100	 0000009141	 0000009010
100	 0000009142	 0000009010
100	 0000009143	 0000009010
100	 0000009144	 0000009010
100	 0000009145	 0000009010
100	 0000009146	 0000009010
100	 0000009147	 0000009010
100	 0000009150	 ACBS
100	 0000009151	 ACBS
100	 0000009152	 ACBS
100	 0000009153	 ACBS
100	 0000009154	 ACBS
100	 0000009155	 ACBS
100	 0000009156	 ACBS
100	 0000009157	 ACBS
100	 0000009158	 ACBS
100	 0000009159	 ACBS
100	 0000009160	 ACBS
100	 0000009161	 ACBS
100	 0000009162	 ACBS
100	 0000009163	 ACBS
100	 0000009164	 ACBS
100	 0000009165	 ACBS
100	 0000009166	 ACBS
100	 0000009167	 ACBS
100	 0000009168	 ACBS
100	 0000009169	 ACBS
100	 0000009170	 ACBS
100	 0000009910	 0000009910
100	 0000009920	 0000009920
100	 0000009930	 0000009930
100	 0000009931	 0000009931
100	 0000996100	 0000009920
100	 0000996200	 0000009920
100	 0000996300	 0000009920
100	 0000996400	 0000009920
100	 0000996500	 0000009920
100	 101S	 SED
100	 102S	 SED
100	 103S	 SED
100	 104S	 SED
100	 105S	 SED
100	 106S	 SED
100	 107S	 SED
100	 108S	 SED
100	 109S	 SED
100	 10A	 MRS
100	 10AR	 0000002310
100	 10B	 MRS
100	 10BR	 0000002310
100	 10D	 MRS
100	 10HF	 0000005410
100	 10L	 0000005410
100	 10P	 RTE
100	 10Q	 RTE
100	 10R	 MRS
100	 10RR	 0000002310
100	 111S	 SED
100	 112S	 SED
100	 114S	 SED
100	 115S	 SED
100	 116S	 SED
100	 117S	 SED
100	 118S	 SED
100	 119S	 SED
100	 11L	 0000005410
100	 11R	 0000002310
100	 120S	 SED
100	 121S	 SED
100	 122S	 SED
100	 123S	 SED
100	 124S	 SED
100	 125S	 SED
100	 126S	 SED
100	 127S	 SED
100	 128S	 SED
100	 129S	 SED
100	 12C	 0000002310
100	 12L	 0000005410
100	 12P	 0000002110
100	 12Q	 0000002110
100	 12R	 MRS
100	 12T	 MRS
100	 130S	 SED
100	 131S	 SED
100	 132S	 SED
100	 133S	 SED
100	 134S	 SED
100	 13L	 0000005410
100	 14HF	 0000005410
100	 14L	 0000005410
100	 15AA	 0000002310
100	 15AB	 0000002310
100	 15AC	 0000002310
100	 15AD	 0000002310
100	 15AE	 0000002310
100	 15C	 URE
100	 15L	 0000005410
100	 15M	 0000002310
100	 15R	 0000002310
100	 16A	 MRS
100	 16AR	 0000002310
100	 16C	 MRS
100	 16CR	 0000002310
100	 16F	 MRS
100	 16HF	 0000005410
100	 16J	 MRS
100	 16JR	 0000002310
100	 16L	 0000005410
100	 17A	 0000002110
100	 17B	 MRS
100	 17F	 MRS
