Generated Table for View ZSTC_ORDSHTO


MANDT	 KUNNR	 NAME1	 ORT01	 PSTLZ	 STRAS	 SORT1
100	 0101000443	 TEST	 Shanghai	 201210	 	 CWU TEST
100	 0100000021	 安徽东萌公路工程有限公司ZXGC	 lj110	 230000	 安徽省合肥市庐江县盛桥工业园	 ANHUI DONG
100	 0100000022	 安徽东萌公路工程有限公司ZXGC	 lj110	 230000	 安徽省合肥市庐江县盛桥工业园	 ANHUI DONG
100	 0100000023	 安徽东萌公路工程有限公司ZXGC	 lj110	 230000	 安徽省合肥市庐江县盛桥工业园	 ANHUI DONG
100	 0100000024	 安徽东萌公路工程有限公司ZXGC	 lj110	 230000	 安徽省合肥市庐江县盛桥工业园	 ANHUI DONG
100	 0100000025	 安徽东萌公路工程有限公司ZXGC	 lj110	 230000	 安徽省合肥市庐江县盛桥工业园	 ANHUI DONG
100	 0100000026	 安徽东萌公路工程有限公司ZXGC	 lj110	 230000	 安徽省合肥市庐江县盛桥工业园	 ANHUI
100	 0101000102	 DSH-Dopravni stavby, a.s.	 Brno-Jih, Prizrenice	 619 00	 Videnska 264/120b	 DSH  A.S.
100	 0100000015	 Skanska a.s.	 Praha 4, Chodov	 149 00	 Líbalova 1/2348	 SKANSKA CZ
100	 0101000110	 Vodohospodá#ské stavby, spole#nost	 Teplice	 415 01	 K#i#íkova 2393	 VHS
100	 0101000101	 BSS international trading GmbH	 Schorfheide	 16244	 Magistrale 8	 BSS SCHORF
100	 0101000105	 JOHANN BUNTE Bauunternehmung	 Papenburg	 26871	 Hauptkanal Links 88	 JOH BUNTE
100	 0101000108	 MPW GmbH & Co. KG	 Bremen	 28203	 Rembertistr. 31	 MPW BREMEN
100	 0101000103	 GOMACO INTERNATIONAL LTD	 Witney	 OXON	 Avenue 1	 GOMACO
100	 0101000104	 International Card Centre LTD	 Sunbury on Thames, Middx	 TW16 7BP	 Chertsey Road	 ICC LTD
100	 0101000068	 OSRAM LIGHTING CONTROL SYSTEMS LTD	 HK32	 987654	 RM 2101-06, LANDMARK NORTH	 CHN192
100	 0101000088	 Atlas Copco	 	 	 1	 ATLASCOPCO
100	 0101000089	 Atlas Copco 2	 	 	 1	 ATLASCOPCO2
100	 0101000073	 Atlas	 	 	 Atlas Copco	 ATLAS
100	 0101000074	 Copco	 	 	 Atlas	 COPCO
100	 0101000075	 Atlas	 	 	 Atlas	 COPCO
100	 0101000076	 Atlas	 	 	 A	 ATLAS
100	 0101000077	 Atlas	 	 	 a	 ATLAS
100	 0101000078	 Atlas	 	 	 A	 COPCO
100	 0101000079	 Hyd	 	 	 A	 ATLAS
100	 0101000080	 Atlas	 	 	 a	 COPCO
100	 0101000081	 Hyd	 	 	 A	 ATLASNEW
100	 0101000107	 Konekesko Latvija SIA	 Riga	 LV-1058	 Tiraines iela 15	 KONEKESKO
100	 0101000109	 TVA CONSTRUCTION LIMITED LIABILITY	 Riga	 LV-1005	 Rankas 11	 TVA LATVIA
100	 0101000112	 Monier Construction Comapny nig.Ltd	 Rumuigbo, Port Harcourt	 6004	 Mile 7 Ikwerre Road	 MONIER NIG
100	 1000000022	 Florence Nwerenda Contracting Compa	 Okoroma, Rivers State	 1517	 Mile 1 Diobu	 FLORENCE
100	 0101000098	 AKG Architektura Krajobrazu	 Kraków	 30-133	 Juliusza Lea 116	 AKG
100	 0101000099	 AKG Architektura Krajobrazu	 Kraków	 30-133	 Juliusza Lea 116	 AKG
100	 0101000100	 AKG Architektura Krajobrazu	 Kraków	 30-133	 Juliusza Lea 116	 AKG
100	 0101000113	 AKG Architektura Krajobrazu	 Kraków	 30-133	 Juliusza Lea 116	 AKG
100	 0101000114	 Alltrans s.c.	 Jab#onna	 05-110	 Modlińska 18 a	 ALLTRANS
100	 0101000115	 ANRO Firma Handlowo-Us#ugowa Anna	 #ukczyn	 83-031	 Gdańska 37	 ANRO #UKCZ
100	 0101000116	 AREX Kwieciński Artur	 Kielce	 25-610	 M#oda 12/2	 AREX
100	 0101000117	 Art Car Artur Szafraniec	 Lubzina	 39-102	 Lubzina 364	 ART CAR
100	 0101000118	 ASFALTBUD Sp. z o.o.	 Cieszyn	 43-400	 Mennicza 11/7	 ASFALTBUD
100	 0101000119	 AutoGP s.c.	 Gliwice	 44-100	 Tarnogórska 108	 AUTOGP SC
100	 0101000120	 Auto-Naprawa-Jerzy Cie#lik	 Katowice	 40-808	 ul.Okr##na 18	 CIE#LIK
100	 0101000121	 AUTO-TEST Sp. z o.o.	 Lubaczów	 37-600	 Techniczna 3	 AUTO-TEST
100	 0101000122	 AWAP Sp. z o.o.	 Gdańsk	 80-177	 Damroki 1s	 AWAP
100	 0101000123	 B&F Trans Kazimierz Barczuk, Marian	 D#bie	 66-615	 Szeroka 10	 B&F- TRANS
100	 0101000124	 BARTEX T. Bartkowiak Spó#ka Jawna	 Komorniki	 62-052	 Poznańska 66	 BARTEX
100	 0101000125	 Begas Sp.J. S#awomir Ga##ski,	 Warszawa	 02-495	 Ry#owa 53	 BEGAS
100	 0101000126	 BERGER BAU POLSKA SP Z O.O.	 Wroc#aw	 54-517	 Szczecińska 11	 BERGER
100	 0101000127	 BIK-PROJEKT Sp. z o.o.	 #om#a	 18-400	 Poligonowa 32	 BIK-PROJEK
100	 0101000128	 Bisek Wojciech Bisek	 Kr#pice	 55-330	 Sosnowa 17	 BISEK WOJC
100	 0101000129	 Biuro Obs#ugi Inwestycji KRYSBUD	 Gdańsk	 80-344	 Szczecińska 2b/12	 KRYSBUD
100	 0101000130	 Biuro Projektów i Inwestycji	 Sierpc	 09-200	 ul. Konstytucji 3 Maja 33	 PROBUD
100	 0101000131	 Brukarstwo i Us#ugi Budowlane BIS	 Nysa	 48-303	 Konradowa 1 a	 BIS WIES#A
100	 0101000132	 Budowa Dróg i Mostów Marcin Babi#	 Pruchnik	 37-560	 #wiebodna 28	 BABI# MARC
100	 0101000133	 Budowa Obiektów Drogowych Wywóz	 Jaworzynka	 43-476	 Jaworzynka 301	 BOD  GOLIK
100	 0101000134	 Budownictwo Drogowe Henryk Rosik	 Wo#omin	 05-200	 Nowe Grabie 15	 ROSIK HENR
100	 0101000135	 BUDROMAX s.c. Agnieszka	 Gryfów #l#ski	 59-620	 Rz#siny 104a	 BUDROMAX
100	 0101000136	 BUDROMOST-Starachowice Sp. z o.o.	 W#chock	 27-215	 #w. Rocha 31	 BUDROMOST
100	 0101000137	 CGW Wies#aw Chamier Gliszczyński	 Bytów	 77-100	 P#otowo 1	 CGW
100	 0101000138	 COMPLEX Józef Wieteska	 Brwinów	 05-840	 Domaniewek 18	 COMPLEX
100	 0101000139	 DALPOL S.C. Piotr ZAJ#C Daniel	 Bytom	 41-902	 Karola Miarki 40	 DALPOL
100	 1000000015	 B.P.R.I.I. DROKAN	 Warszawa	 04-711	 Celofanowa 2	 DROKAN
100	 0101000140	 DELTA-PRID Sp. z o.o.	 Ciechanów	 06-400	 Mazowiecka 9	 DELTA-PRID
100	 0101000141	 Diagnostyka i Naprawa Hydrauliki	 Tychy	 43-100	 Paprocańska 165	 DROZDEK DA
100	 0101000142	 DIMICO Drogi i Mosty Sp. z o.o.	 Bielsko Bia#a	 43-382	 Ks. J. Londzina 115	 DIMICO
100	 0101000143	 DRAGADOS S.A. Oddzia# w Polsce	 Warszawa	 00-540	 Aleje Ujazdowskie 41	 DRAGADOS
100	 0101000144	 Drog-Complex S.C. Katarzyna	 Poznań	 61-249	 Unii Lubelskiej 3	 D COMPLEX
100	 0101000145	 Drog-Inwest	 Sieradz	 98-200	 Jagiellońska 7/50	 DRO INWEST
100	 0101000146	 DROG-IN# Bińczyk, Buchalski,	 Piotrków Trybunalski	 97-300	 Dmowskiego 96	 DROG-IN#
100	 0101000147	 Drogmar Firma Wielobran#owa Mariola	 Grójec	 05-600	 Drogowców 2/12	 DROGMAR
100	 0101000148	 DROGMAS Sp. z o.o.	 Gdańsk	 80-719	 Litewska 20	 DROGMAS
100	 0101000149	 DROGOMEX Sp. z o.o.	 Pruszków	 05-800	 Stefana Bry#y 4	 DROGOMEX
100	 0101000150	 DROGTRANS Sp. z o.o.	 Strzy#ów	 38-100	 1 Maja 42	 DROGTRANS
100	 0101000151	 DROMA Biuro Techniczno-Handlowe	 Biskupice	 62-007	 Podgórna 13	 DROMA
100	 0101000152	 DROMAK Sp. z o.o.	 Zduńska Wola	 98-220	 Por#by 26B	 DROMAK
100	 0101000153	 DROMA-Roboty Drogowe S.C.	 Bielsko-Bia#a	 43-308	 Wadowicka 68	 DROMA
100	 0101000154	 DROMOST Sp.J. J.#aska, M.#aska,	 Radomsko	 97-500	 Lipie 12/B	 DROMOST
100	 0101000155	 DROMOSTTOR s.c. Pawe# Chapiński i	 Lwówek #l#ski	 59-600	 Mojesz 31 B	 DROMOSTTOR
100	 0101000156	 ELBUD S.C. Jaros#aw Sajewicz,	 Szczecin	 70-767	 Hangarowa 2	 ELBUD
100	 0101000157	 Euro Cargo Sp. z o.o.	 Strzy#ów	 38-100	 #ukasiewicza 12a	 EURO CARGO
100	 0101000158	 Eurokop Grzybowski	 Warszawa	 00-876	 Ogrodowa 52/54/53	 EUROKOP
100	 0101000159	 Europamed Sp. z o.o.	 Racibórz	 47-400	 Staszica 22	 EUROPAMED
100	 0101000160	 F.H. "KOCZYK" Krzysztof Koczyk	 Olsztyn	 10-410	 Lubelska 43 A	 KOCZYK
100	 0101000161	 F.H.U "DAREX" Dariusz Knutelski	 Nieczajna Górna	 33-205	 Nieczajna Górna 304	 DAREX
100	 0101000162	 F.H.U. ERWO Inst. Wod.-Kan., C.O. i	 Stalowa Wola	 37-450	 Podle#na 14	 ERWO
100	 0101000163	 F.H.U. INSTBUD Boguta Stanis#aw	 Gdów	 32-420	 Nieznanowice 50	 INSTBUD
100	 0101000164	 F.U.H. ANTEX	 Tyczyn	 36-020	 S#owackiego 2	 ANTEX
100	 0101000165	 FABER S. Pawlik, M. Pawlik	 Kamiennik	 48-388	 Szklary 74	 FABER
100	 0101000166	 FEDRO Sp. z o.o.	 Osieck	 08-445	 Kolejowa 1	 FEDRO
100	 0101000167	 FHU "KIC-TRANS" Piotr Ró#ycki	 Drzycim	 86-140	 Broniewskiego 4	 KIC-TRANS
100	 0101000168	 FHU FLORIMEX	 Kasinka Ma#a 582	 34-734	 0	 FLORIMEX
100	 0101000169	 Firma "Gurazda" Leszek Gurazda	 Sianów	 76-004	 W#gorzewska 30	 GURAZDA
100	 0101000170	 Firma "Kamrat"	 Studzionka	 43-245	 ul. Wodzis#awska 1	 KAMRAT
100	 0101000171	 Firma Budowlana AGABUD Kozio#ek	 Katowice	 40-748	 Go#dzików 17	 AGABUD
100	 0101000172	 Firma Budowlano Instalacyjna	 O#arów	 27-530	 Ró#ana 4	 WODEX
100	 0101000173	 Przedsi#biorstwo Robót Budowlanych	 Por#bka Iwkowska	 32-862	 K#ty 65	 OLEXBUD
100	 0101000174	 Firma Budowlano-Us#ugowa "EKO-BUD"	 Pyzdry	 62-310	 Lisewo 39	 EKO-BUD PY
100	 0101000175	 Firma Drogowa NORDVIK Sp. J.	 Reda	 84-240	 Kasztanowa 3	 NORDVIK
100	 0101000176	 Firma Drogród Szymon Tetla	 #wiklice	 43-229	 M#czenników O#wi#cimskich 37 a	 DROGR#D
100	 0101000177	 Firma Handlowo Us#ugowa W#adys#aw	 D#browa Tarnowska	 33-200	 Brnik 113	 FHU BARTOS
100	 0101000178	 Firma Handlowo Us#ugowa "Stachoń"	 Poronin	 34-520	 Ko#ciuszki  9	 STACHO#
100	 0101000179	 Firma Handlowo-Us#ugowa Szymon	 Gi#ycko	 11-500	 Wilkaski 5	 FHU WALENT
100	 0101000180	 Firma KAPICA Szymon Kapica	 Mi#dzyrzecze	 43-220	 Podlesie 23	 KAPICA MI#
100	 0101000181	 Firma KON-BUD Konrad DZIURLA	 #agów	 66-220	 #agówerk 28	 KONBUD
100	 0101000182	 Firma Ogólnobudowlana ARAT	 Sianowo	 83-328	 Staniszewo 26	 ARAT
100	 0101000183	 Firma Transportowo-Us#ugowa.	 Brzostek	 39-230	 Bukowa 47	 DZIEDZIC
100	 0101000184	 Firma Us#ugowo Handlowa KOMBUD	 ##townia 378	 34-242	 0	 KOMBUD
100	 0101000185	 Firma Us#ugowo-Budowlana "ROM-BUD"	 Studzienice	 43-215	 Czy#yków 53	 ROM-BUD
100	 0101000186	 Firma Us#ugowo-Budowlana FIL-BUD	 Katowice	 40-572	 Za##ska 37/38	 FIL-BUD
100	 0101000187	 Firma Us#ugowo-Handlowa Budowlano-	 Ropienka	 38-711	 Zawadka 50	 BI#AS H
100	 0101000188	 Firma Us#ugowo-Handlowa i Naprawy	 Katowice	 40-566	 Pok#adowa 8	 SZCZ#SNY M
100	 0101000189	 FPHU "MAX-BUD"- Jacek Lichy	 Bochnia	 32-700	 Chodenicka 39	 MAX-BUD BO
100	 0101000190	 FPHU EPIX	 Wyry	 43-175	 D#browszczaków 99	 EPIX
100	 0101000191	 FREZ-BET S.C Tomasz Bloch, Grzegorz	 Olsztyn	 10-696	 Królewny #nie#ki 62	 FREZ-BET
100	 0101000192	 G.G. WEGA S.C.	 Gdynia	 81-156	 Janka Wi#niewskiego 27	 WEGA
100	 0101000193	 GabroDrog Pawe# Kubicki	 #nin	 88-400	 Kasztanowa 19	 GABRODROG
100	 0101000194	 GEO-FREZ Sp. z o.o.	 Warszawa	 01-443	 Cio#ka 16/421	 GEO-FREZ
100	 0101000195	 GEOINVEST Krzysztof Gajdzik	 Giera#towice	 44-186	 Ks. Roboty 50	 GEOINVEST
100	 0101000196	 GLIWICKIE PRZEDSI#BIORSTWO ROB#T	 Gliwice	 44-113	 #eleńskiego - Boya 12	 GPRD GLIWI
100	 0101000197	 Gminne Przedsi#biorstwo	 Bogatynia	 59-920	 Kilińskiego 17	 GPO BOGATY
100	 0101000198	 Gminny Zak#ad Obs#ugi Komunalnej	 Zamo##	 22-400	 Partyzantów 3/24	 GZOK ZAMO#
100	 0101000199	 Gospodarstwo Rolne Andrzej	 Miko#ów, #mi#owice	 43-197	 Gliwicka 85a	 BURAKOWSKI
100	 0101000200	 Gro-Trans Andrzej Grochal	 Wieliczka	 32-020	 Mietniów 81A	 GRO-TRANS
100	 0101000201	 HAK Construction Sp. z o.o.	 Katowice	 40-101	 Chorzowska 108	 HAK
100	 0101000202	 HDE Sp. z o.o.	 Piekary #l#skie	 41-940	 Karola Miarki 2F	 HDE
100	 0101000203	 HDE Sp. z o.o.	 D#browa Górnicza	 41-300	 Korczaka 13a	 HDE
100	 0101000204	 HEMAR.AUTO Mariusz Piechowicz	 Toruń	 87-100	 #ó#kiewskiego 10	 HEMAR.AUTO
100	 0101000205	 Hermann Kirchner Bauunternehmung	 #ód#	 91-463	 #agiewnicka 54/56	 KIRCHNER
100	 0101000206	 HOHL CONSTRUCTION Sp. z o.o.	 Krzywińskie	 11-610	 Krzywińskie 31	 HOHL CONST
100	 0101000207	 Hurtownia Ogumienia I Cz##ci Do	 Knurów	 44-194	 Kapelanów Wojskowych 3 a/1	 VERITAX II
100	 0101000208	 Hydrosi#a Zbigniew Twardowski	 D#bno	 74-400	 Wi#c#aw 18 e	 HYDROSI#A
100	 0101000209	 INFRADR#G Sp. z o.o.	 Nysa	 48-303	 Pi#sudskiego 57/E	 INFRADR#G
100	 0101000210	 Inprorem Sp. z o.o.	 D#browa Górnicza	 41-308	 Ro#dzieńskiego 11	 INPROREM
100	 0101000211	 INWESTYCJE PL Sp. z o.o.	 Rybnik	 44-217	 #w. Józefa 80 c	 INWESTYCJE
100	 0101000212	 ITB Sp. z o.o.	 Wroc#aw	 53-017	 Wiosenna 14/2	 ITB
100	 0101000213	 Izosan Zak#ad Ogólnobudowlany	 Brodnica	 87-300	 Moczad#a 1b	 IZOSAN
100	 0101000214	 Jaros#awskie Przedsi#biorstwo Robót	 Jaros#aw	 37-500	 Poniatowskiego 6	 JPRDM S.A.
100	 0101000215	 JKM Sp. z o.o.	 Miko#ów	 43-190	 Skalna 6/12	 JKM
100	 0101000216	 Jordan S.A.	 Miko#ów	 43-190	 Rymera 1 e	 JORDAN
100	 0101000217	 Kateil-System Klaudiusz Kap#on	 Poznań	 60-179	 Jeleniogórska 18	 KATEIL-SYS
100	 0101000218	 Kompleksowe Utrzymanie Dróg	 D#browa Tarnowska	 33-200	 Grunwaldzka 64A	 BIEDRO#SKI
100	 0101000219	 KONTA-PARTS Cz##ci Zamienne	 Swarz#dz	 62-023	 Miel#yńskiego 100/16	 KONTA-PART
100	 0101000220	 KRUSZ- BUD Piotr Iwulski Roboty	 Zabierzów Bocheński	 32-007	 Wola Batorska - #wirownia	 KRUSZBUD
100	 0101000221	 KRUSZER Sp. z o.o.	 Warszawa	 02-237	 Instalatorów 3b	 KRUSZER
100	 0101000222	 Kruszywa-Serwis Tomasz Golański	 Katowice	 40-871	 Tysi#clecia 84/117	 KRUSZYWA
100	 0101000223	 LASKOWSKI F.P.H.U Zbigniew	 Sulejówek	 05-070	 Matejki 6	 LASKOWSKI
100	 0101000224	 Lasy Państwowe O#rodek Transportu	 #wiebodzin	 66-200	 Poznańska 10	 LASY #WIEB
100	 0101000225	 Lasy Państwowe Zak#ad Us#ug Le#nych	 Wroc#aw	 51-171	 Czajkowskiego 11/13	 ZUL WROC#A
100	 0101000226	 LEMAR Leszek Bigus	 Niezabyszewo	 77-132	 0 73C	 LEMAR
100	 0101000227	 LIMAR TOMASZ LIS	 My#lenice	 32-400	 Niepodleg#o#ci 14	 LIMAR
100	 0101000228	 LUPHER Spó#ka Jawna	 Wielog#owy	 33-311	 Wielopole 141	 LUPHER
100	 0101000229	 MADROG HANDEL S.C.	 Stargard Szczeciński	 73-110	 NA GROBLI 4	 MADROG
100	 0101000230	 Ma#a Elektrownia Wodna "Pilzno"	 Rzeszów	 35-211	 Kruczkowskiego 24a	 PILZNO
100	 0101000231	 Markbud Sp. z o.o.	 Podd#bice	 99-200	 Targowa 7	 MARKBUD
100	 0101000232	 MARKBUD Sp. z o.o.	 Podd#bice	 43-678	 #ódzka 14/18	 MARKBUD
100	 0101000233	 MARKUS Marek Marczak	 Poznań	 60-682	 Os. Boles#awa #mia#ego 23/22	 MARKUS
100	 0101000234	 Maszyny Drogowe Magdalena	 Poznań	 60-003	 Wo#czyńska 37	 MASZYNY D
100	 0101000235	 Maszyny Drogowe s.c.	 Wa#brzych	 58-300	 Wyspiańskiego 5	 MASZYNY D
100	 0101000236	 MCMANUS BROTHERS POLAND Sp. z o.o.	 Kraków	 31-131	 Karmelicka 27	 MCMANUS
100	 0101000237	 MDM MASZYNY S.C.	 Z#otniki	 62-002	 Azaliowa 1a	 MDM MASZYN
100	 0101000238	 Mechanika Maszyn Andrzej Kosiński	 Gostyń	 43-176	 Motyla 36 a	 MECHANIKA
100	 0101000239	 MEGA BRUK US#UGI	 K#obuck	 42-100	 Górnicza 1	 MEGA BRUK
100	 0101000240	 Melwod Przemys#aw Krupa	 Grodków	 49-200	 Kwiatowa 10	 MELWOD
100	 0101000241	 MetalGum SM Sp. z o.o. Marian	 Tarnobrzeg	 39-400	 Jachowicza 6/B	 METAL-GUM
100	 0101000242	 Miejski Zak#ad Drogowy Sp. z o.o.	 Jaworzno	 43-602	 Górno#l#ska 39	 MZD JAWORZ
100	 0101000243	 MIEJSKI ZAK#AD ULIC I MOST#W	 Sosnowiec	 41-200	 Plonów 22/I	 MZUIM SOSN
100	 0101000244	 Miejskie Przedsiebiorstwo	 Zabrze	 41-800	 Lecha 10	 MPGK ZABRZ
100	 0101000245	 Miejskie Przedsi#biorstwo	 Siemianowice #l#skie	 41-100	 #mi#owskiego 15	 MPGKIM SIE
100	 0101000246	 Miejskie Przedsi#biorstwo Ulic i	 Mys#owice	 41-404	 Fabryczna 10	 MPUIM MYS#
100	 0101000247	 MIX Filters Sp. z o. o.	 S#dziszów M#p.	 39-120	 Fabryczna 6 b	 MIX FILTER
100	 0101000248	 MIXBUD Patryk Bilke	 Ruda #l#ska	 41-705	 Szybowa 6a/5	 MIXBUD
100	 0101000249	 Molter Zak#ad Us#ug Transportowo	 G#ogów Ma#opolski	 36-060	 Rudna Ma#a 47/b	 MOLTER
100	 0101000250	 MONICA Monika Szymczyk	 D#browa Górnicza	 41-303	 Edmunda Cedlera 1/35	 MONICA
100	 0101000251	 NEXTER COLOR-SYSTEM Sp. z o.o.	 Katowice	 40-301	 Siemianowicka 3	 NEXTER COL
100	 0101000252	 OIL CENTER Jacek WRUSZAK	 Wroc#aw	 50-513	 ul. Gazowa 3	 OIL CENTER
100	 0101000253	 OMEGA Zak#ad Sieci Wod.-Kan.	 Ruda #l#ska	 41-711	 Szkolna 17	 OMEGA
100	 0101000254	 Osinpol Sp. z o.o.	 #ory	 44-240	 Sosnowa 23	 OSINPOL
100	 0101000255	 O#rodek Centralnego Szkolenia	 Mińsk Mazowiecki	 05-300	 Budowlana 4	 OCSM
100	 0101000256	 P.H.U. "HANDLOWIEC" Grzegorz	 Piekary #l#skie	 41-940	 Karola Wielkiego 18/2/6	 HANDLOWIEC
100	 0101000257	 P.H.U. "M.M" Mrozowski Maciej	 Opole	 45-069	 1 Maja 59/5	 PHU "M.M"
100	 0101000258	 P.H.U. ARTOM Tomasz #miglewski	 Poznań	 61-450	 Os. D#bina 4/11	 ARTOM
100	 0101000259	 P.P.H.U TOK-FREZ S#awomir Wnuk	 Wo#omin	 05-200	 #ukasiewicza 7	 TOK-FREZ
100	 0101000260	 P.P.H.U. TONIT Tomasz Toborek	 Tychy	 43-100	 Szpakowa 45	 TONIT
100	 0101000261	 P.P.H.U. Wojciech Kusa	 Tczew	 83-110	 Rejtana 1	 PPHU KUSA
100	 0101000262	 P.P.H.U."SODREX"s.c.Tadeusz	 Dobroń	 95-082	 Dojazdowa 9	 SODREX
100	 0101000263	 P.P.U.H. TOMBUD Tomasz Trzaskowski	 Olesno	 46-300	 S#owackiego 1/40	 TOMBUD
100	 0101000264	 P.R.I.B. PROBUD Sp. z o.o.	 Gliwice	 44-103	 Wschodnia 40	 PROBUD GL
100	 0101000265	 P.U.Fadróg	 #ywiec	 34-300	 #wirowa 22	 P.U.FADR#G
100	 0101000266	 P.W. KRUK Wojciech Krukowski	 Gliwice	 44-100	 Zbo#owa 5	 PW KRUK
100	 0101000267	 PAWBUD Us#ugi Ogólno-Budowlane	 K#obuck	 42-100	 Górnicza 1	 PAWBUD K#O
100	 0101000268	 PBR "WERBUD" Eugeniusz Franków	 K#odzko	 57-300	 Lipowa 1b	 WERBUD
100	 0101000269	 PDM Sp. z o.o.	 Brzesko	 32-800	 Przemys#owa 18	 PDM BRZESK
100	 0101000270	 PHB REKO-BUD Beniamin #atka	 Nowogard	 72-200	 3 Maja 25/4	 REKO-BUD
100	 0101000271	 PHU Towemo Monika Szczygie#	 Otwock	 05-400	 #eromskiego  73k	 PHU TOWEMO
100	 0101000272	 Planet Logistic #ukasz	 Poznań	 60-185	 Skórzewo, ul. Zielna 15	 PLANET LOG
100	 0101000273	 POL ART Jackowski Artur	 #adzice	 97-561	 Jedlino Pierwsze 17	 POL ART
100	 0101000274	 POLCAB N. Gamoń sp. Jawna	 Rybnik	 44-203	 Sosnowa 5	 POLCAB
100	 0101000275	 POLDIM Jakubowice Sp. z o.o.	 Proszowice	 32-100	 Jakubowice 77	 POLDIM JAK
100	 0101000276	 POL-DR#G Chojnice Sp. z .o.o.	 Chojnice	 89-600	 Bydgoska 16	 POLDR#G CH
100	 0101000277	 POL-DR#G Gdańsk Sp. z o.o.	 Gdańsk	 80-051	 Sandomierska 35	 POLDR#G GD
100	 0101000278	 PPHU "TOMRET" Tomasz Przybylski	 #ask	 98-100	 Matejki 2	 TOMRET
100	 0101000279	 PPHU Mako Andrzej Glibowski	 Ostrowiec #wi#tokrzyski	 27-400	 Grabowiecka 43	 MAKO
100	 0101000280	 PPHU MAR-PIEK Piotr Kowalewski	 Kórnik	 62-035	 Dworcowa 13	 MAR-PIEK
100	 0101000281	 PPUH "MAX-BUD" Karol Kowalski	 Spytkowice	 34-116	 Dworska 7	 MAX-BUD
100	 0101000282	 PPUH "OMEGA" Sp. z o.o.	 Mszana Dolna	 34-730	 Orkana 51	 OMEGA
